Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_56	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	NA	NA	NA
ASV_57	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	NA
ASV_58	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae1	Alcanivorax	NA
ASV_59	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	NA
ASV_60	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	NA
ASV_61	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Jorgensenbacteria	NA	NA	NA
ASV_62	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_63	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Silanimonas	NA
ASV_64	Bacteria	NA	NA	NA	NA	NA	NA
ASV_65	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrososphaera	NA
ASV_66	Bacteria	Proteobacteria	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	NA	NA
ASV_67	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
ASV_68	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA
ASV_69	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA
ASV_70	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	NA
ASV_71	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	NA
ASV_72	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	homiensis
ASV_73	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	NA
ASV_74	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Tepidiphilus	succinatimandens
ASV_75	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
ASV_76	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	Desulfitispora	NA
ASV_77	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Frateuria	NA
ASV_78	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	NA
ASV_79	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA
ASV_80	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Jorgensenbacteria	NA	NA	NA
ASV_81	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
ASV_82	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria_Incertae_Sedis	Unknown_Family	Phormidium_CYN64	NA
ASV_83	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	thiooxidans
ASV_84	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	NA
ASV_85	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	NA
ASV_86	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Jorgensenbacteria	NA	NA	NA
ASV_87	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azospira	oryzae
ASV_88	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_89	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	B1-7BS	NA	NA
ASV_90	Bacteria	Cyanobacteria	Vampirivibrionia	Caenarcaniphilales	NA	NA	NA
ASV_91	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	NA
